genero,title,specs,price,id,developer,anio
Action,Desperados 2: Cooper's Revenge,['Single-player'],9.99,9710,Spellbound,2006
Action,Death to Spies,"['Single-player', 'Steam Cloud']",4.99,9800,Haggard Games,2007
Action,Act of War: High Treason,"['Single-player', 'Multi-player']",2.99,9760,Eugen Systems,2006
Simulation,RollerCoaster Tycoon® 3: Platinum,['Single-player'],19.99,2700,"Frontier,Aspyr (Mac)",2006
Action,Act of War: Direct Action,"['Single-player', 'Multi-player']",2.99,2710,Eugen Systems,2005
Action,Unreal 2: The Awakening,['Single-player'],14.99,13200,"Epic Games, Inc.",2003
Action,Unreal Gold,"['Single-player', 'Multi-player']",9.99,13250,"Epic Games, Inc.",1998
Action,Tom Clancy's Splinter Cell®,['Single-player'],9.99,13560,Ubisoft,2003
Action,Far Cry®,['Single-player'],9.99,13520,Crytek Studios,2004
Action,Unreal Tournament: Game of the Year Edition,"['Single-player', 'Multi-player']",9.99,13240,"Epic Games, Inc.",2000
Action,Tom Clancy's Rainbow Six® Vegas,"['Single-player', 'Multi-player']",9.99,13540,Ubisoft Montreal,2006
Simulation,Silent Hunter® III,"['Single-player', 'Multi-player', 'Co-op']",9.99,15210,Ubisoft,2005
Simulation,Virtual Villagers - The Secret City,['Single-player'],9.99,16180,Last Day of Work,2008
Simulation,Petz® Horsez® 2,['Single-player'],9.99,15160,Ubisoft,2007
Action,Rayman Raving Rabbids™,['Single-player'],9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier",2007
Simulation,Silent Hunter®: Wolves of the Pacific,"['Single-player', 'Multi-player']",9.99,15200,Ubisoft Romania,2007
Simulation,IL-2 Sturmovik: 1946,"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",9.99,15320,1C: Maddox Games,2006
Simulation,Silent Hunter®: Wolves of the Pacific U-Boat Missions,"['Single-player', 'Multi-player']",9.99,15240,Ubisoft Romania,2008
Adventure,Bone: Out From Boneville,['Single-player'],9.99,8310,Telltale Games,2005
Racing,Midnight Outlaw: 6 Hours to SunUp,['Single-player'],9.99,12600,"Merscom,Babylon",2005
Adventure,Bone: The Great Cow Race,['Single-player'],9.99,8320,Telltale Games,2006
Racing,Sprint Cars Road to Knoxville,"['Single-player', 'Multi-player']",9.99,12590,BigAnt Studios,2008
Simulation,Ride! Carnival Tycoon,['Single-player'],9.99,12560,Gabriel Entertainment,2007
Adventure,Dracula Origin,['Single-player'],9.99,11050,Frogwares,2008
Adventure,Sherlock Holmes - Nemesis,['Single-player'],9.99,11040,Frogwares,2008
Adventure,Eternity's Child,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Includes level editor']",4.99,19500,"Luc Bernard,SilverSphereStudios",2008
Simulation,Pacific Storm Allies,"['Single-player', 'Multi-player', 'Steam Trading Cards']",7.99,11260,Lesta Studio,2007
Action,Tank Universal,"['Single-player', 'Steam Achievements']",4.99,19200,Dialogue Design,2008
Racing,FlatOut: Ultimate Carnage,"['Single-player', 'Multi-player']",19.99,12360,Bugbear Entertainment,2008
Adventure,Oddworld: Abe's Exoddus®,['Single-player'],2.99,15710,Oddworld Inhabitants,1998
Adventure,Oddworld: Abe's Oddysee®,"['Single-player', 'Steam Trading Cards']",2.99,15700,Oddworld Inhabitants,1997
Racing,GTR Evolution Expansion Pack for RACE 07,"['Single-player', 'Multi-player', 'Downloadable Content']",7.99,8660,SimBin,2008
Strategy,X-COM: Enforcer,"['Single-player', 'Multi-player']",4.99,7770,"MicroProse Software, Inc",2001
Strategy,X-COM: Apocalypse,['Single-player'],4.99,7660,"MicroProse Software, Inc",1997
Strategy,X-COM: UFO Defense,['Single-player'],4.99,7760,"MicroProse Software, Inc",1993
Action,S.T.A.L.K.E.R.: Clear Sky,"['Single-player', 'Multi-player']",9.99,20510,GSC Game World,2008
Action,Crysis Warhead®,['Single-player'],19.99,17330,Crytek,2008
Action,Crysis,['Single-player'],19.99,17300,Crytek,2007
Strategy,X-COM: Interceptor,"['Single-player', 'Multi-player']",4.99,7730,"MicroProse Software, Inc",1998
Action,The Witcher: Enhanced Edition Director's Cut,"['Single-player', 'Steam Cloud']",9.99,20900,CD PROJEKT RED,2008
Racing,STCC - The Game 1 - Expansion Pack for RACE 07,"['Single-player', 'Multi-player', 'Downloadable Content']",2.99,8690,SimBin,2008
Strategy,Children of the Nile: Alexandria,"['Single-player', 'Steam Achievements']",2.49,17120,"Tilted Mill Entertainment, Inc.",2008
Strategy,Sid Meier's Civilization IV: Colonization,"['Single-player', 'Multi-player']",19.99,16810,Firaxis Games,2008
Action,Tom Clancy's Rainbow Six® 3 Gold,['Single-player'],9.99,19830,"Red Storm Entertainment,Ubisoft Montreal",2003
Action,LEGO Batman,"['Single-player', 'Shared/Split Screen', 'Full controller support']",19.99,21000,Traveller's Tales,2008
Simulation,City Life 2008,['Single-player'],9.99,4460,Monte Cristo,2008
Strategy,Hinterland,"['Single-player', 'Steam Achievements']",9.99,17140,"Tilted Mill Entertainment, Inc.",2008
Action,Brothers in Arms: Hell's Highway™,['Single-player'],9.99,15390,Gearbox Software,2008
Racing,Xpand Rally Xtreme,"['Single-player', 'Multi-player']",4.99,3050,Techland,2006
Strategy,Heroes of Might &amp; Magic V: Hammers of Fate,['Single-player'],9.99,15380,Nival,2006
Action,Brothers in Arms: Earned in Blood™,['Single-player'],9.99,19800,Gearbox Software,2005
Strategy,Heroes of Might &amp; Magic V: Tribes of the East,['Single-player'],9.99,15370,Nival,2007
Strategy,The Settlers®: Rise Of An Empire Gold Edition,['Single-player'],19.99,19930,Blue Byte,2008
Action,The Sum of All Fears,"['Single-player', 'Multi-player']",9.99,19810,Red Storm Entertainment,2002
Action,X3: Terran Conflict,"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud']",15.99,2820,Egosoft,2008
Action,Mare Nostrum,"['Multi-player', 'Mods', 'Steam Achievements']",Free,1230,Sandstorm Productions,2008
Action,Bully: Scholarship Edition,"['Single-player', 'Partial Controller Support']",14.99,12200,Rockstar New England,2008
Action,Far Cry® 2: Fortune's Edition,"['Single-player', 'Multi-player']",9.99,19900,Ubisoft Montreal,2008
Action,Space Trader: Merchant Marine,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",4.99,11240,Meridian4,2008
Simulation,PRR Wagon Pack 01,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']",4.99,256522,RailSimulator.com,2009
Simulation,"Class 421 London South East ""Jaffa Cake""","['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']",4.99,275144,RailSimulator.com,2009
Simulation,ATSF Wagon Pack 01,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']",4.99,256521,RailSimulator.com,2009
Simulation,GP20 Union Pacific Add-on Livery,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']",4.99,222569,Reppo,2009
Simulation,UK Van Wagon Pack,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']",4.99,256535,RailSimulator.com,2009
Simulation,CSX SD70MAC Add-on Livery,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']",4.99,256611,Dovetail Games,2009
Simulation,CSX ES44AC Add-on Livery,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']",4.99,256576,Dovetail Games,2009
Action,Saints Row 2,"['Single-player', 'Steam Cloud']",9.99,9480,Volition,2009
Action,Dead Space,"['Single-player', 'Full controller support']",19.99,17470,EA Redwood Shores,2008
Action,Mirror's Edge™,"['Single-player', 'Full controller support', 'Partial Controller Support']",19.99,17410,DICE,2009
Strategy,Defense Grid: The Awakening,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",9.99,18500,Hidden Path Entertainment,2008
Action,F.E.A.R. 2: Project Origin,"['Single-player', 'Multi-player']",14.99,16450,Monolith,2009
Strategy,Harvest: Massive Encounter,"['Single-player', 'Steam Achievements']",7.99,15400,Oxeye Game Studio,2008
Strategy,Mayhem Intergalactic,"['Single-player', 'Multi-player', 'Steam Achievements']",9.99,18600,Inventive Dingo,2007
Action,Larva Mortus,"['Single-player', 'Steam Achievements']",4.99,11340,Meridian4,2009
Strategy,Knights of Honor,"['Single-player', 'Multi-player']",9.99,25830,Black Sea Studios Ltd,2005
Action,Ceville,['Single-player'],5.99,23460,Realmforge Studios,2009
Strategy,Empire: Total War™ - Special Forces Units &amp; Bonus Content,"['Single-player', 'Downloadable Content', 'Stats']",2.99,10600,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2009
Action,Watchmen: The End is Nigh,"['Single-player', 'Multi-player', 'Shared/Split Screen']",4.99,21010,Deadline Games,2009
Action,Penumbra Overture,"['Single-player', 'Captions available']",9.99,22180,Frictional Games,2007
Action,Unreal Tournament 3 Black,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",19.99,13210,"Epic Games, Inc.",2007
Simulation,The Graveyard,['Single-player'],4.99,27020,Tale of Tales,2008
Racing,Burnout Paradise: The Ultimate Box,"['Single-player', 'Multi-player']",19.99,24740,Criterion Games,2009
Action,The Maw,"['Single-player', 'Steam Achievements']",9.99,26000,Twisted Pixel Games,2009
Action,The Maw: River Redirect,"['Single-player', 'Downloadable Content', 'Steam Achievements']",1.25,26006,Twisted Pixel Games,2009
Action,The Maw: Brute Force,"['Single-player', 'Downloadable Content', 'Steam Achievements']",1.25,26005,Twisted Pixel Games,2009
Simulation,Codename: Panzers - Cold War,"['Single-player', 'Multi-player', 'Co-op']",14.99,9850,"InnoGlow,Stormregion,THQ Nordic",2009
Strategy,Helldorado,['Single-player'],9.99,18470,Spellbound,2009
Action,X-Blades,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",9.99,7510,Gaijin Entertainment,2009
Action,Zeno Clash,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,22200,ACE Team,2009
Strategy,King's Bounty: The Legend,"['Single-player', 'Steam Cloud']",6.99,25900,1C Company,2008
Simulation,Virtual Families,['Single-player'],9.99,16200,Last Day of Work,2009
Racing,Death Track®: Resurrection,"['Single-player', 'Steam Cloud']",2.99,7840,Sky Fallen,2009
Strategy,Freedom Force vs. the Third Reich,"['Single-player', 'Multi-player']",4.99,8890,Irrational Games,2005
Strategy,Freedom Force,"['Single-player', 'Multi-player']",4.99,8880,Irrational Games,2002
Simulation,Light of Altair,"['Single-player', 'Steam Achievements']",14.99,34500,SaintXi,2009
Action,Darkest Hour: Europe '44-'45,"['Multi-player', 'Mods', 'Partial Controller Support', 'Includes level editor']",Free,1280,Darklight Games,2009
Action,Prototype™,['Single-player'],19.99,10150,Radical Entertainment,2009
Adventure,Blueberry Garden,['Single-player'],4.99,29160,Erik Svedäng,2009
Strategy,Port Royale 2,['Single-player'],4.99,12470,Ascaron Entertainment ltd.,2004
Adventure,Ankh 2: Heart of Osiris,['Single-player'],4.99,12440,Deck 13,2007
Simulation,Armored Fist 3,"['Single-player', 'Multi-player', 'Co-op']",9.99,32710,NovaLogic,1999
Simulation,MiG-29 Fulcrum,"['Single-player', 'Multi-player']",9.99,32740,NovaLogic,1998
Strategy,BC Kings,"['Single-player', 'Multi-player']",4.99,12460,Mascot Entertainment,2008
Action,Call of Juarez®: Bound in Blood,['Single-player'],9.99,21980,Techland,2009
Adventure,Nancy Drew®: Legend of the Crystal Skull,['Single-player'],6.99,31860,HeR Interactive,2007
Adventure,Nancy Drew®: The Creature of Kapu Cave,['Single-player'],6.99,31900,HeR Interactive,2006
Adventure,Nancy Drew®: The Phantom of Venice,['Single-player'],6.99,31920,HeR Interactive,2008
Adventure,Nancy Drew®: The White Wolf of Icicle Creek,['Single-player'],6.99,31930,HeR Interactive,2007
Adventure,Tales of Monkey Island Complete Pack,['Single-player'],19.99,31170,Telltale Games,2009
Action,Street Fighter® IV,"['Single-player', 'Multi-player', 'Partial Controller Support']",19.99,21660,Capcom,2009
Action,Thrillville®: Off the Rails™,"['Single-player', 'Local Multi-Player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud']",9.99,6080,Frontier,2007
Adventure,Indiana Jones® and the Fate of Atlantis™,"['Single-player', 'Local Co-op', 'Steam Cloud']",5.99,6010,LucasArts,1992
Action,Armed and Dangerous®,"['Single-player', 'Steam Cloud']",5.99,6090,Planet Moon Studios,2003
Action,"Star Wars: Battlefront 2 (Classic, 2005)","['Single-player', 'Partial Controller Support', 'Steam Cloud']",9.99,6060,Pandemic Studios,2005
Adventure,Indiana Jones® and the Last Crusade™,['Single-player'],5.99,32310,LucasArts,1989
Action,LEGO® Indiana Jones™: The Original Adventures,"['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud']",19.99,32330,Traveller's Tales,2008
Adventure,The Secret of Monkey Island: Special Edition,"['Single-player', 'Full controller support', 'Steam Cloud']",9.99,32360,LucasArts,2009
Strategy,Warfare,['Single-player'],12.99,35300,GFI Russia,2008
Action,Clutch,['Single-player'],9.99,35310,Targem Games,2009
Adventure,Nancy Drew®: Ransom of the Seven Ships,"['Single-player', 'Steam Achievements']",6.99,31980,HeR Interactive,2009
Adventure,King's Quest™ Collection,['Single-player'],19.99,10100,Sierra,2006
Action,TimeShift™,"['Single-player', 'Multi-player']",19.99,10130,Saber Interactive,2007
Adventure,Space Quest™ Collection,['Single-player'],19.99,10110,Sierra,2006
Action,Killing Floor Outbreak Character Pack,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']",7.99,1256,Tripwire Interactive,2009
Action,Aces of the Galaxy™,['Single-player'],9.99,10120,Artech Studios,2008
Simulation,Tropico Reloaded,['Single-player'],6.99,33520,"PopTop Software,BreakAway Games,Frog City Software",2009
Action,Bionic Commando: Rearmed,"['Single-player', 'Shared/Split Screen', 'Partial Controller Support']",9.99,21680,Capcom,2008
Action,Bionic Commando,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Steam Cloud']",9.99,21670,Capcom,2009
Action,Watchmen: The End is Nigh Part 2,"['Single-player', 'Co-op', 'Partial Controller Support']",4.99,21030,Deadline Games,2009
Action,Foreign Legion: Buckets of Blood,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",4.99,36000,Sakari Indie,2009
Adventure,STAR WARS™ - Knights of the Old Republic™,"['Single-player', 'Steam Cloud']",9.99,32370,"BioWare,Aspyr (Mac)",2003
Strategy,Fallout Tactics: Brotherhood of Steel,"['Single-player', 'Multi-player', 'Steam Cloud']",9.99,38420,14° East,2001
Action,Kingpin — Life of Crime,"['Single-player', 'Multi-player']",9.99,38430,Xatrix Entertainment,1999
Adventure,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,['Single-player'],19.99,31180,Telltale Games,2009
Adventure,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",['Single-player'],4.99,37400,Size Five Games,2009
Action,Tom Clancy's Splinter Cell Chaos Theory®,['Single-player'],9.99,13570,Ubisoft Montreal,2005
Strategy,XIII Century – Gold Edition,"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",4.99,34420,Unicorn Games Studio,2009
Simulation,World of Zoo,['Single-player'],14.99,43100,Blue Fang,2009
Action,Mini Ninjas,['Single-player'],9.99,35000,IO Interactive,2009
Adventure,Windosill,['Single-player'],2.99,37600,"Vectorpark, Inc.",2009
Simulation,Train Simulator: Colton &amp; Northern Route Add-On,"['Single-player', 'Downloadable Content']",24.99,24029,All Aboard,2009
Adventure,Midnight Mysteries,['Single-player'],9.99,32140,MumboJumbo,2009
Adventure,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,['Single-player'],19.99,31190,Telltale Games,2009
Action,Joint Operations: Combined Arms Gold,"['Single-player', 'Multi-player', 'Co-op']",19.99,32770,NovaLogic,2009
Simulation,Train Simulator: US Loco &amp; Asset Pack,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",17.99,208306,Dovetail Games,2009
Simulation,DinerTown Tycoon,['Single-player'],9.99,37300,PlayFirst,2009
Simulation,Train Simulator: European Loco &amp; Asset Pack,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",19.99,208300,Dovetail Games,2009
Strategy,Empire: Total War™ - The Warpath Campaign,"['Single-player', 'Multi-player', 'Downloadable Content']",9.99,10606,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2009
Adventure,Machinarium,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,40700,Amanita Design,2009
