genero,title,specs,price,id,developer,anio,playtime_forever
Strategy,Railroad Tycoon 3,"['Single-player', 'Multi-player']",9.99,7610,PopTop,2003,15391
Strategy,Sid Meier's Railroads!,"['Single-player', 'Multi-player']",9.99,7600,"Firaxis Games,Feral Interactive (Mac)",2006,213960
Strategy,Railroad Tycoon II Platinum,['Single-player'],4.99,7620,PopTop,1998,823
Strategy,X-COM: Terror From the Deep,['Single-player'],4.99,7650,"MicroProse Software, Inc",1995,49836
Action,Tomb Raider: Anniversary,"['Single-player', 'Partial Controller Support']",8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)",2007,99745
Action,Devil May Cry® 3 Special Edition,"['Single-player', 'Partial Controller Support']",19.99,6550,"CAPCOM Co., Ltd.",2006,66775
Action,Sam &amp; Max 101: Culture Shock,['Single-player'],19.99,8200,Telltale Games,2006,48324
Action,Final DOOM,"['Single-player', 'Steam Cloud']",4.99,2290,id Software,1996,13818
Action,Sam &amp; Max 102: Situation: Comedy,['Single-player'],19.99,8210,Telltale Games,2006,30332
Action,Ultimate Doom,"['Single-player', 'Steam Cloud']",4.99,2280,id Software,1995,77440
Action,Master Levels for Doom II,"['Single-player', 'Steam Cloud']",14.99,9160,id Software,1995,8075
Action,DOOM II,"['Single-player', 'Multi-player', 'Steam Cloud']",4.99,2300,id Software,1994,66166
Action,Wolfenstein 3D,"['Single-player', 'Steam Cloud']",4.99,2270,id Software,1994,32482
Action,Return to Castle Wolfenstein,"['Single-player', 'Multi-player', 'Steam Cloud']",4.99,9010,Gray Matter Studios,2001,102518
Action,QUAKE Mission Pack 1: Scourge of Armagon,"['Single-player', 'Multi-player', 'Steam Cloud']",2.99,9040,Ritual Entertainment,1997,9254
Action,Spear of Destiny,"['Single-player', 'Steam Cloud']",2.99,9000,id Software,1993,3328
Action,BloodRayne,"['Single-player', 'Steam Trading Cards']",9.99,3810,Terminal Reality,2003,16393
Action,QUAKE Mission Pack 2: Dissolution of Eternity,"['Single-player', 'Multi-player', 'Steam Cloud']",2.99,9030,Rogue Entertainment,2007,8795
Action,QUAKE,"['Single-player', 'Multi-player', 'Co-op', 'Steam Cloud']",4.99,2310,id Software,2007,91359
Strategy,Genesis Rising,"['Single-player', 'Multi-player']",4.99,3230,Metamorf,2007,4220
Strategy,"Warhammer® 40,000: Dawn of War® – Winter Assault","['Single-player', 'Multi-player']",12.99,9310,Relic Entertainment,2006,292769
Action,BioShock™,"['Single-player', 'Partial Controller Support']",19.99,7670,"2K Boston,2K Australia",2007,2681563
Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","['Single-player', 'Multi-player', 'Steam Trading Cards', 'Steam Cloud']",12.99,4570,Relic Entertainment,2006,735239
Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade","['Single-player', 'Multi-player', 'Steam Cloud']",12.99,4580,Relic Entertainment,2006,1866527
Strategy,Rome: Total War™ - Collection,"['Single-player', 'Multi-player', 'Steam Trading Cards']",9.99,4760,The Creative Assembly,2004,3007902
Strategy,Rome: Total War™ - Alexander,"['Single-player', 'Multi-player']",4.99,4770,The Creative Assembly,2006,90007
Action,Manhunt,['Single-player'],9.99,12130,Rockstar North,2004,8101
Racing,Midnight Club 2,"['Single-player', 'Multi-player']",9.99,12160,Rockstar San Diego,2003,30583
Action,Max Payne 2: The Fall of Max Payne,['Single-player'],9.99,12150,Remedy Entertainment,2003,196411
Action,Tomb Raider: Legend,"['Single-player', 'Partial Controller Support']",6.99,7000,Crystal Dynamics,2006,69456
Action,Max Payne,['Single-player'],9.99,12140,Remedy Entertainment,2001,281759
Strategy,Command &amp; Conquer: Red Alert 3,['Single-player'],19.99,17480,EA Los Angeles,2008,1558393
Adventure,Culpa Innata,['Single-player'],9.99,12310,Momentum Digital Media Technologies,2007,199
Strategy,Prison Tycoon 3™: Lockdown,['Single-player'],9.99,12510,"Gamebryo,Virtual Playground",2007,31289
Action,Hunting Unlimited™ 2008,['Single-player'],9.99,12530,SCS Software,2007,3628
Racing,18 Wheels of Steel: American Long Haul,['Single-player'],9.99,12520,SCS Software,2007,24599
Action,Conflict: Denied Ops,['Single-player'],5.99,8100,Pivotal Games,2008,4343
Action,ARMA: Combat Operations,"['Single-player', 'Multi-player', 'Includes level editor']",7.99,2780,Bohemia Interactive,2007,18714
Action,Desperados 2: Cooper's Revenge,['Single-player'],9.99,9710,Spellbound,2006,1820
Action,Death to Spies,"['Single-player', 'Steam Cloud']",4.99,9800,Haggard Games,2007,14722
Action,Act of War: High Treason,"['Single-player', 'Multi-player']",2.99,9760,Eugen Systems,2006,11466
Simulation,RollerCoaster Tycoon® 3: Platinum,['Single-player'],19.99,2700,"Frontier,Aspyr (Mac)",2006,903850
Action,Act of War: Direct Action,"['Single-player', 'Multi-player']",2.99,2710,Eugen Systems,2005,10225
Action,Unreal 2: The Awakening,['Single-player'],14.99,13200,"Epic Games, Inc.",2003,24571
Action,Unreal Gold,"['Single-player', 'Multi-player']",9.99,13250,"Epic Games, Inc.",1998,24018
Action,Tom Clancy's Splinter Cell®,['Single-player'],9.99,13560,Ubisoft,2003,78629
Action,Far Cry®,['Single-player'],9.99,13520,Crytek Studios,2004,325754
Action,Unreal Tournament: Game of the Year Edition,"['Single-player', 'Multi-player']",9.99,13240,"Epic Games, Inc.",2000,205360
Action,Tom Clancy's Rainbow Six® Vegas,"['Single-player', 'Multi-player']",9.99,13540,Ubisoft Montreal,2006,22487
Simulation,Silent Hunter® III,"['Single-player', 'Multi-player', 'Co-op']",9.99,15210,Ubisoft,2005,80430
Simulation,Virtual Villagers - The Secret City,['Single-player'],9.99,16180,Last Day of Work,2008,10963
Simulation,Petz® Horsez® 2,['Single-player'],9.99,15160,Ubisoft,2007,61001
Action,Rayman Raving Rabbids™,['Single-player'],9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier",2007,3728
Simulation,Silent Hunter®: Wolves of the Pacific,"['Single-player', 'Multi-player']",9.99,15200,Ubisoft Romania,2007,39161
Simulation,IL-2 Sturmovik: 1946,"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",9.99,15320,1C: Maddox Games,2006,192807
Simulation,Silent Hunter®: Wolves of the Pacific U-Boat Missions,"['Single-player', 'Multi-player']",9.99,15240,Ubisoft Romania,2008,14365
Adventure,Bone: Out From Boneville,['Single-player'],9.99,8310,Telltale Games,2005,1462
Racing,Midnight Outlaw: 6 Hours to SunUp,['Single-player'],9.99,12600,"Merscom,Babylon",2005,533
Adventure,Bone: The Great Cow Race,['Single-player'],9.99,8320,Telltale Games,2006,624
Racing,Sprint Cars Road to Knoxville,"['Single-player', 'Multi-player']",9.99,12590,BigAnt Studios,2008,7472
Simulation,Ride! Carnival Tycoon,['Single-player'],9.99,12560,Gabriel Entertainment,2007,999
Adventure,Dracula Origin,['Single-player'],9.99,11050,Frogwares,2008,3609
Adventure,Sherlock Holmes - Nemesis,['Single-player'],9.99,11040,Frogwares,2008,7558
Adventure,Eternity's Child,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Includes level editor']",4.99,19500,"Luc Bernard,SilverSphereStudios",2008,1552
Simulation,Pacific Storm Allies,"['Single-player', 'Multi-player', 'Steam Trading Cards']",7.99,11260,Lesta Studio,2007,16490
Action,Tank Universal,"['Single-player', 'Steam Achievements']",4.99,19200,Dialogue Design,2008,8700
Racing,FlatOut: Ultimate Carnage,"['Single-player', 'Multi-player']",19.99,12360,Bugbear Entertainment,2008,160627
Adventure,Oddworld: Abe's Exoddus®,['Single-player'],2.99,15710,Oddworld Inhabitants,1998,151985
Adventure,Oddworld: Abe's Oddysee®,"['Single-player', 'Steam Trading Cards']",2.99,15700,Oddworld Inhabitants,1997,264055
Racing,GTR Evolution Expansion Pack for RACE 07,"['Single-player', 'Multi-player', 'Downloadable Content']",7.99,8660,SimBin,2008,970
Strategy,X-COM: Enforcer,"['Single-player', 'Multi-player']",4.99,7770,"MicroProse Software, Inc",2001,7370
Strategy,X-COM: Apocalypse,['Single-player'],4.99,7660,"MicroProse Software, Inc",1997,69638
Strategy,X-COM: UFO Defense,['Single-player'],4.99,7760,"MicroProse Software, Inc",1993,182863
Action,S.T.A.L.K.E.R.: Clear Sky,"['Single-player', 'Multi-player']",9.99,20510,GSC Game World,2008,504909
Action,Crysis Warhead®,['Single-player'],19.99,17330,Crytek,2008,182503
Action,Crysis,['Single-player'],19.99,17300,Crytek,2007,925661
Strategy,X-COM: Interceptor,"['Single-player', 'Multi-player']",4.99,7730,"MicroProse Software, Inc",1998,8792
Action,The Witcher: Enhanced Edition Director's Cut,"['Single-player', 'Steam Cloud']",9.99,20900,CD PROJEKT RED,2008,2473796
Racing,STCC - The Game 1 - Expansion Pack for RACE 07,"['Single-player', 'Multi-player', 'Downloadable Content']",2.99,8690,SimBin,2008,73921
Strategy,Children of the Nile: Alexandria,"['Single-player', 'Steam Achievements']",2.49,17120,"Tilted Mill Entertainment, Inc.",2008,19447
Strategy,Sid Meier's Civilization IV: Colonization,"['Single-player', 'Multi-player']",19.99,16810,Firaxis Games,2008,121534
Action,Tom Clancy's Rainbow Six® 3 Gold,['Single-player'],9.99,19830,"Red Storm Entertainment,Ubisoft Montreal",2003,51799
Action,LEGO Batman,"['Single-player', 'Shared/Split Screen', 'Full controller support']",19.99,21000,Traveller's Tales,2008,168546
Simulation,City Life 2008,['Single-player'],9.99,4460,Monte Cristo,2008,5344
Strategy,Hinterland,"['Single-player', 'Steam Achievements']",9.99,17140,"Tilted Mill Entertainment, Inc.",2008,15390
Action,Brothers in Arms: Hell's Highway™,['Single-player'],9.99,15390,Gearbox Software,2008,73310
Racing,Xpand Rally Xtreme,"['Single-player', 'Multi-player']",4.99,3050,Techland,2006,1341
Strategy,Heroes of Might &amp; Magic V: Hammers of Fate,['Single-player'],9.99,15380,Nival,2006,20611
Action,Brothers in Arms: Earned in Blood™,['Single-player'],9.99,19800,Gearbox Software,2005,33006
Strategy,Heroes of Might &amp; Magic V: Tribes of the East,['Single-player'],9.99,15370,Nival,2007,142049
Strategy,The Settlers®: Rise Of An Empire Gold Edition,['Single-player'],19.99,19930,Blue Byte,2008,58535
Action,The Sum of All Fears,"['Single-player', 'Multi-player']",9.99,19810,Red Storm Entertainment,2002,17
Action,X3: Terran Conflict,"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud']",15.99,2820,Egosoft,2008,677256
Action,Mare Nostrum,"['Multi-player', 'Mods', 'Steam Achievements']",0,1230,Sandstorm Productions,2008,17390
Action,Bully: Scholarship Edition,"['Single-player', 'Partial Controller Support']",14.99,12200,Rockstar New England,2008,1391394
Action,Far Cry® 2: Fortune's Edition,"['Single-player', 'Multi-player']",9.99,19900,Ubisoft Montreal,2008,1171876
Action,Space Trader: Merchant Marine,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",4.99,11240,Meridian4,2008,16388
Action,Saints Row 2,"['Single-player', 'Steam Cloud']",9.99,9480,Volition,2009,3230553
Action,Dead Space,"['Single-player', 'Full controller support']",19.99,17470,EA Redwood Shores,2008,928770
Action,Mirror's Edge™,"['Single-player', 'Full controller support', 'Partial Controller Support']",19.99,17410,DICE,2009,2853510
Strategy,Defense Grid: The Awakening,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",9.99,18500,Hidden Path Entertainment,2008,1234477
Action,F.E.A.R. 2: Project Origin,"['Single-player', 'Multi-player']",14.99,16450,Monolith,2009,521546
Strategy,Harvest: Massive Encounter,"['Single-player', 'Steam Achievements']",7.99,15400,Oxeye Game Studio,2008,12273
Strategy,Mayhem Intergalactic,"['Single-player', 'Multi-player', 'Steam Achievements']",9.99,18600,Inventive Dingo,2007,21485
Action,Larva Mortus,"['Single-player', 'Steam Achievements']",4.99,11340,Meridian4,2009,9474
Strategy,Knights of Honor,"['Single-player', 'Multi-player']",9.99,25830,Black Sea Studios Ltd,2005,53872
Action,Ceville,['Single-player'],5.99,23460,Realmforge Studios,2009,5627
Action,Watchmen: The End is Nigh,"['Single-player', 'Multi-player', 'Shared/Split Screen']",4.99,21010,Deadline Games,2009,7717
Action,Penumbra Overture,"['Single-player', 'Captions available']",9.99,22180,Frictional Games,2007,93070
Action,Unreal Tournament 3 Black,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",19.99,13210,"Epic Games, Inc.",2007,656172
Simulation,The Graveyard,['Single-player'],4.99,27020,Tale of Tales,2008,1748
Racing,Burnout Paradise: The Ultimate Box,"['Single-player', 'Multi-player']",19.99,24740,Criterion Games,2009,2113222
Action,The Maw,"['Single-player', 'Steam Achievements']",9.99,26000,Twisted Pixel Games,2009,24297
Simulation,Codename: Panzers - Cold War,"['Single-player', 'Multi-player', 'Co-op']",14.99,9850,"InnoGlow,Stormregion,THQ Nordic",2009,6806
Strategy,Helldorado,['Single-player'],9.99,18470,Spellbound,2009,2227
Action,X-Blades,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",9.99,7510,Gaijin Entertainment,2009,88039
Action,Zeno Clash,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,22200,ACE Team,2009,130295
Strategy,King's Bounty: The Legend,"['Single-player', 'Steam Cloud']",6.99,25900,1C Company,2008,246553
Simulation,Virtual Families,['Single-player'],9.99,16200,Last Day of Work,2009,3246
Racing,Death Track®: Resurrection,"['Single-player', 'Steam Cloud']",2.99,7840,Sky Fallen,2009,2761
Strategy,Freedom Force vs. the Third Reich,"['Single-player', 'Multi-player']",4.99,8890,Irrational Games,2005,12938
Strategy,Freedom Force,"['Single-player', 'Multi-player']",4.99,8880,Irrational Games,2002,33893
Simulation,Light of Altair,"['Single-player', 'Steam Achievements']",14.99,34500,SaintXi,2009,4790
Action,Darkest Hour: Europe '44-'45,"['Multi-player', 'Mods', 'Partial Controller Support', 'Includes level editor']",0,1280,Darklight Games,2009,261569
Action,Prototype™,['Single-player'],19.99,10150,Radical Entertainment,2009,745038
Adventure,Blueberry Garden,['Single-player'],4.99,29160,Erik Svedäng,2009,1997
Strategy,Port Royale 2,['Single-player'],4.99,12470,Ascaron Entertainment ltd.,2004,37020
Adventure,Ankh 2: Heart of Osiris,['Single-player'],4.99,12440,Deck 13,2007,1864
Simulation,Armored Fist 3,"['Single-player', 'Multi-player', 'Co-op']",9.99,32710,NovaLogic,1999,26
Simulation,MiG-29 Fulcrum,"['Single-player', 'Multi-player']",9.99,32740,NovaLogic,1998,136
Strategy,BC Kings,"['Single-player', 'Multi-player']",4.99,12460,Mascot Entertainment,2008,8915
Action,Call of Juarez®: Bound in Blood,['Single-player'],9.99,21980,Techland,2009,107812
Adventure,Nancy Drew®: Legend of the Crystal Skull,['Single-player'],6.99,31860,HeR Interactive,2007,1735
Adventure,Nancy Drew®: The Creature of Kapu Cave,['Single-player'],6.99,31900,HeR Interactive,2006,850
Adventure,Nancy Drew®: The Phantom of Venice,['Single-player'],6.99,31920,HeR Interactive,2008,2564
Adventure,Nancy Drew®: The White Wolf of Icicle Creek,['Single-player'],6.99,31930,HeR Interactive,2007,2211
Adventure,Tales of Monkey Island Complete Pack,['Single-player'],19.99,31170,Telltale Games,2009,47705
Action,Street Fighter® IV,"['Single-player', 'Multi-player', 'Partial Controller Support']",19.99,21660,Capcom,2009,361732
Action,Thrillville®: Off the Rails™,"['Single-player', 'Local Multi-Player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud']",9.99,6080,Frontier,2007,22848
Adventure,Indiana Jones® and the Fate of Atlantis™,"['Single-player', 'Local Co-op', 'Steam Cloud']",5.99,6010,LucasArts,1992,16976
Action,Armed and Dangerous®,"['Single-player', 'Steam Cloud']",5.99,6090,Planet Moon Studios,2003,613
Action,"Star Wars: Battlefront 2 (Classic, 2005)","['Single-player', 'Partial Controller Support', 'Steam Cloud']",9.99,6060,Pandemic Studios,2005,5245912
Adventure,Indiana Jones® and the Last Crusade™,['Single-player'],5.99,32310,LucasArts,1989,3600
Action,LEGO® Indiana Jones™: The Original Adventures,"['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud']",19.99,32330,Traveller's Tales,2008,29407
Adventure,The Secret of Monkey Island: Special Edition,"['Single-player', 'Full controller support', 'Steam Cloud']",9.99,32360,LucasArts,2009,127978
Strategy,Warfare,['Single-player'],12.99,35300,GFI Russia,2008,485
Action,Clutch,['Single-player'],9.99,35310,Targem Games,2009,2272
Adventure,Nancy Drew®: Ransom of the Seven Ships,"['Single-player', 'Steam Achievements']",6.99,31980,HeR Interactive,2009,1173
Adventure,King's Quest™ Collection,['Single-player'],19.99,10100,Sierra,2006,1250
Action,TimeShift™,"['Single-player', 'Multi-player']",19.99,10130,Saber Interactive,2007,38111
Adventure,Space Quest™ Collection,['Single-player'],19.99,10110,Sierra,2006,3689
Action,Aces of the Galaxy™,['Single-player'],9.99,10120,Artech Studios,2008,847
Simulation,Tropico Reloaded,['Single-player'],6.99,33520,"PopTop Software,BreakAway Games,Frog City Software",2009,19973
Action,Bionic Commando: Rearmed,"['Single-player', 'Shared/Split Screen', 'Partial Controller Support']",9.99,21680,Capcom,2008,15171
Action,Bionic Commando,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Steam Cloud']",9.99,21670,Capcom,2009,23189
Action,Watchmen: The End is Nigh Part 2,"['Single-player', 'Co-op', 'Partial Controller Support']",4.99,21030,Deadline Games,2009,3138
Action,Foreign Legion: Buckets of Blood,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",4.99,36000,Sakari Indie,2009,25451
Adventure,STAR WARS™ - Knights of the Old Republic™,"['Single-player', 'Steam Cloud']",9.99,32370,"BioWare,Aspyr (Mac)",2003,2866191
Strategy,Fallout Tactics: Brotherhood of Steel,"['Single-player', 'Multi-player', 'Steam Cloud']",9.99,38420,14° East,2001,85418
Action,Kingpin — Life of Crime,"['Single-player', 'Multi-player']",9.99,38430,Xatrix Entertainment,1999,9462
Adventure,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,['Single-player'],19.99,31180,Telltale Games,2009,29734
Adventure,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",['Single-player'],4.99,37400,Size Five Games,2009,12494
Action,Tom Clancy's Splinter Cell Chaos Theory®,['Single-player'],9.99,13570,Ubisoft Montreal,2005,133299
Strategy,XIII Century – Gold Edition,"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",4.99,34420,Unicorn Games Studio,2009,1617
Simulation,World of Zoo,['Single-player'],14.99,43100,Blue Fang,2009,23535
Action,Mini Ninjas,['Single-player'],9.99,35000,IO Interactive,2009,75474
Adventure,Windosill,['Single-player'],2.99,37600,"Vectorpark, Inc.",2009,9568
Adventure,Midnight Mysteries,['Single-player'],9.99,32140,MumboJumbo,2009,1634
Adventure,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,['Single-player'],19.99,31190,Telltale Games,2009,25317
Action,Joint Operations: Combined Arms Gold,"['Single-player', 'Multi-player', 'Co-op']",19.99,32770,NovaLogic,2009,1196
Simulation,DinerTown Tycoon,['Single-player'],9.99,37300,PlayFirst,2009,373
Adventure,Machinarium,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,40700,Amanita Design,2009,148397
Action,Medal of Honor: Airborne,"['Single-player', 'Multi-player']",9.99,24840,EA Los Angeles,2007,163702
Racing,Need for Speed: Shift,"['Single-player', 'Multi-player']",19.99,24870,Slightly Mad Studios,2009,198423
Strategy,Command &amp; Conquer: Red Alert 3 - Uprising,['Single-player'],19.99,24800,EA Los Angeles,2009,809445
Strategy,East India Company: Privateer,"['Single-player', 'Downloadable Content']",4.99,42800,Nitro Games,2009,973
Action,Painkiller: Resurrection,"['Single-player', 'Multi-player']",9.99,39560,Homegrown Games,2009,12563
Strategy,SpellForce 2 - Anniversary Edition,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Steam Cloud', 'Includes level editor']",14.99,39550,"Phenomic,THQ Nordic",2009,70383
Adventure,Secret Files: Tunguska,['Single-player'],9.99,40330,Animation Arts,2009,9795
Strategy,Rush for Berlin Gold,"['Single-player', 'Multi-player']",4.99,40320,Stormregion,2009,3602
Adventure,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,['Single-player'],19.99,31200,Telltale Games,2009,27566
Strategy,Men of War: Red Tide,"['Single-player', 'Steam Cloud']",4.99,3130,1C Company,2009,47204
Action,Hammerfight,['Single-player'],4.99,41100,Konstantin Koshutin,2009,46790
Action,SpellForce - Platinum Edition,['Single-player'],9.99,39540,Phenomic,2009,79906
Strategy,Massive Assault: Phantom Renaissance,['Single-player'],9.99,34640,Wargaming.net,2005,2183
Strategy,Massive Assault,['Single-player'],9.99,34630,Wargaming.net,2003,1816
Action,Serious Sam HD: The First Encounter,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",14.99,41000,Croteam,2009,419246
Adventure,Secret Files 2: Puritas Cordis,['Single-player'],9.99,40340,Animation Arts,2009,2343
Action,Aztaka,['Single-player'],4.99,37100,Citeremis Inc.,2009,3414
Strategy,For The Glory: A Europa Universalis Game,"['Single-player', 'Multi-player']",9.99,42810,Crystal Empire Games,2009,3914
Action,Call of Duty®: Modern Warfare® 2,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled']",19.99,10180,"Infinity Ward,Aspyr (Mac)",2009,5484170
Adventure,LEGO® Star Wars™ - The Complete Saga,"['Single-player', 'Shared/Split Screen', 'Full controller support', 'Steam Cloud']",19.99,32440,"Traveller's Tales,Feral Interactive (Mac)",2009,607700
Strategy,Command &amp; Conquer 3: Tiberium Wars,['Single-player'],14.99,24790,EA Los Angeles,2007,554589
Strategy,Command &amp; Conquer 3: Kane's Wrath,"['Single-player', 'Multi-player']",19.99,24810,EA Los Angeles,2009,351763
Simulation,Gratuitous Space Battles,"['Single-player', 'Multi-player', 'Steam Trading Cards']",14.99,41800,Positech Games,2009,303770
Simulation,Wings of Prey,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",9.99,45300,Gaijin Entertainment,2009,246140
Action,The Bard's Tale,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",9.99,41900,inXile Entertainment,2005,47421
Action,Defence Alliance 2,"['Single-player', 'Multi-player', 'Co-op', 'Mods']",0,35420,Defence Alliance Team,2009,118937
Action,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,"['Single-player', 'Partial Controller Support', 'Steam Cloud']",19.99,32430,"LucasArts,Aspyr Studios",2009,700696
Simulation,Build-A-Lot,['Single-player'],9.99,38080,Hip Soft,2007,974
Simulation,Build-A-Lot 2: Town of the Year,['Single-player'],9.99,38090,Hip Soft,2008,166
Simulation,Build-A-Lot 3: Passport to Europe,['Single-player'],9.99,38100,Hip Soft,2009,297
Simulation,Coconut Queen,['Single-player'],9.99,38070,iWin,2009,373
Action,Devil May Cry 4,"['Single-player', 'Full controller support']",19.99,45700,Capcom,2008,292320
Action,Avencast: Rise of the Mage,['Single-player'],9.99,46410,ClockStone Studios,2010,19273
Simulation,Build-A-Lot 4: Power Source,['Single-player'],9.99,38110,Hip Soft,2009,9967
Action,"Pirates, Vikings, and Knights II","['Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Mods', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Includes Source SDK']",0,17570,Octoshark Studios,2010,609663
Strategy,Westward® IV: All Aboard,['Single-player'],6.99,36310,Sandlot Games,2010,920
Adventure,Iron Roses,['Single-player'],6.99,36320,Cateia Games,2010,0
Strategy,UFO: Extraterrestrials Gold,['Single-player'],9.99,37030,Chaos Concept,2010,25395
Adventure,LEGO® Indiana Jones™ 2: The Adventure Continues,"['Single-player', 'Shared/Split Screen']",19.99,32450,Traveller's Tales,2010,135842
Action,Super Laser  Racer,"['Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support']",4.99,44100,New Star Games Ltd,2010,5158
Action,NecroVisioN: Lost Company,"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",6.99,46250,The Farm 51,2010,6595
Action,Serious Sam Classic: The First Encounter,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Includes level editor']",9.99,41050,Croteam,2001,58353
Action,Mount &amp; Blade: Warband,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']",19.99,48700,TaleWorlds Entertainment,2010,38905649
Action,Coniclysm,"['Single-player', 'Full controller support', 'Partial Controller Support']",4.99,39900,ZoopTEK,2010,38
Action,Plain Sight,"['Multi-player', 'Steam Achievements', 'Steam Leaderboards']",4.99,49900,Beatnik Games,2010,44706
Action,Lead and Gold: Gangs of the Wild West,"['Multi-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",9.99,42120,Fatshark,2010,129842
Action,Grand Theft Auto: Episodes from Liberty City,"['Single-player', 'Multi-player']",19.99,12220,Rockstar North / Toronto,2010,4094053
